,Year,Month,Common_Words,Word_Count
620,1996,10,shaped,6.555555555555555
621,1996,10,3,6.555555555555555
622,1996,10,triangular,5.444444444444445
623,1996,10,moving,5.444444444444445
624,1996,10,large,5.444444444444445
625,1996,10,hovering,5.444444444444445
626,1996,10,right,5.444444444444445
627,1996,10,night,5.444444444444445
628,1996,10,high,4.333333333333334
629,1996,10,LIGHT,4.333333333333334
630,1996,10,2,4.333333333333334
631,1996,10,one,4.333333333333334
632,1997,10,object,11.0
633,1997,10,sky,8.727272727272727
634,1997,10,lights,8.727272727272727
635,1997,10,light,8.727272727272727
636,1997,10,moving,6.454545454545454
637,1997,10,saw,6.0
638,1997,10,bright,5.090909090909091
639,1997,10,craft,4.636363636363637
640,1997,10,driving,4.636363636363637
641,1997,10,shaped,4.636363636363637
642,1997,10,3,4.181818181818182
643,1997,10,seen,4.181818181818182
644,1997,10,UFO,4.181818181818182
645,1997,10,like,4.181818181818182
646,1997,10,fast,4.181818181818182
647,1997,10,hovering,3.727272727272727
648,1997,10,red,3.727272727272727
649,1997,10,looked,3.727272727272727
650,1997,10,feet,3.272727272727273
651,1997,10,1997,3.272727272727273
652,1998,10,sky,11.0
653,1998,10,light,9.392857142857142
654,1998,10,object,7.071428571428571
655,1998,10,bright,5.821428571428571
656,1998,10,saw,5.642857142857143
657,1998,10,white,5.285714285714286
658,1998,10,craft,4.928571428571429
659,1998,10,green,4.75
660,1998,10,fireball,4.571428571428571
661,1998,10,across,4.392857142857142
662,1998,10,lights,3.857142857142857
663,1998,10,north,3.857142857142857
664,1998,10,like,3.857142857142857
665,1998,10,moving,3.6785714285714284
666,1998,10,shaped,3.6785714285714284
667,1998,10,large,3.5
668,1998,10,appeared,3.5
669,1998,10,south,3.142857142857143
670,1998,10,driving,3.142857142857143
671,1998,10,noticed,2.9642857142857144
672,1999,10,object,11.0
673,1999,10,sky,10.594594594594595
674,1999,10,light,9.91891891891892
675,1999,10,lights,9.783783783783784
676,1999,10,saw,7.486486486486487
677,1999,10,bright,6.54054054054054
678,1999,10,moving,5.864864864864865
679,1999,10,white,5.45945945945946
680,1999,10,shaped,5.324324324324325
681,1999,10,like,4.378378378378379
682,1999,10,east,4.243243243243244
683,1999,10,large,3.7027027027027026
684,1999,10,west,3.7027027027027026
685,1999,10,across,3.7027027027027026
686,1999,10,red,3.5675675675675675
687,1999,10,north,3.5675675675675675
688,1999,10,flying,3.4324324324324325
689,1999,10,appeared,3.4324324324324325
690,1999,10,craft,3.1621621621621623
691,1999,10,south,3.1621621621621623
692,2000,10,object,11.0
693,2000,10,light,10.245283018867925
694,2000,10,sky,10.056603773584905
695,2000,10,lights,9.30188679245283
696,2000,10,shaped,7.981132075471698
697,2000,10,bright,7.60377358490566
698,2000,10,moving,6.471698113207547
699,2000,10,saw,5.150943396226415
700,2000,10,white,4.962264150943396
701,2000,10,craft,4.584905660377359
702,2000,10,seen,4.584905660377359
703,2000,10,one,4.2075471698113205
704,2000,10,3,4.018867924528302
705,2000,10,UFO,4.018867924528302
706,2000,10,objects,3.830188679245283
707,2000,10,red,3.641509433962264
708,2000,10,like,3.641509433962264
709,2000,10,across,3.452830188679245
710,2000,10,night,3.452830188679245
711,2000,10,flying,3.452830188679245
712,2001,10,object,11.0
713,2001,10,lights,9.91304347826087
714,2001,10,light,8.173913043478262
715,2001,10,sky,6.6521739130434785
716,2001,10,bright,6.6521739130434785
717,2001,10,like,6.217391304347826
718,2001,10,shaped,5.3478260869565215
719,2001,10,craft,5.3478260869565215
720,2001,10,moving,5.3478260869565215
721,2001,10,red,4.478260869565217
722,2001,10,blue,4.478260869565217
723,2001,10,white,4.478260869565217
724,2001,10,flying,4.260869565217391
725,2001,10,UFO,3.8260869565217392
726,2001,10,saw,3.8260869565217392
727,2001,10,2,3.608695652173913
728,2001,10,triangle,3.391304347826087
729,2001,10,green,3.1739130434782608
730,2001,10,night,3.1739130434782608
731,2001,10,north,3.1739130434782608
732,2002,10,light,11.0
733,2002,10,object,11.0
734,2002,10,sky,10.183673469387756
735,2002,10,lights,8.551020408163264
736,2002,10,white,7.122448979591836
